Country,Continent,log(CO2_Emission),log(TotalEnergy_Consumption),,,,
Belgium,Europe,2.0,1.7,,,,
Czech Republic,Europe,2.2,1.7,,,,
France,Europe,2.6,2.4,,,,
Germany,Europe,3.0,2.5,,,,
Italy,Europe,2.6,2.2,,,,
Netherlands,Europe,2.2,1.8,,,,
Poland,Europe,2.6,2.0,,,,
Portugal,Europe,1.6,1.2,,,,
Romania,Europe,2.2,1.8,,,,
Spain,Europe,2.3,2.0,,,,
Sweden,Europe,1.7,1.7,,,,
United Kingdom,Europe,2.7,2.3,,,,
Norway,Europe,1.4,1.3,,,,
Turkey,Asia,2.1,1.7,,,,
Kazakhstan,Asia,2.4,1.9,,,,
Russia,Asia,3.3,2.9,,,,
Ukraine,Europe,2.8,2.4,,,,
Uzbekistan,Asia,2.1,1.7,,,,
Canada,North America,2.6,2.3,,,,
United States,North America,3.7,3.3,,,,
Argentina,South America,2.0,1.7,,,,
Brazil,South America,2.3,2.1,,,,
Chile,South America,1.5,1.1,,,,
Colombia,South America,1.7,1.4,,,,
Mexico,North America,2.4,2.1,,,,
Venezuela,South America,2.0,1.6,,,,
China,Asia,3.4,2.9,,,,
India,Asia,2.7,2.5,,,,
Indonesia,Asia,2.2,2.0,,,,
Japan,Asia,3.0,2.6,,,,
Malaysia,Asia,1.7,1.3,,,,
South Korea,Asia,2.4,2.0,,,,
Taiwan,Asia,2.1,1.7,,,,
Thailand,Asia,1.9,1.6,,,,
Australia,Oceania,2.4,1.9,,,,
New Zealand,Oceania,1.3,1.1,,,,
Algeria,Africa,1.7,1.3,,,,
Egypt,Africa,1.9,1.5,,,,
Nigeria,Africa,1.5,1.8,,,,
South Africa,Africa,2.4,2.0,,,,
Iran,Asia,2.3,1.8,,,,
Kuwait,Asia,1.4,1.0,,,,
Saudi Arabia,Asia,2.2,1.8,,,,
United Arab Emirates,Asia,1.7,1.3,,,,
