Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Belgium,Europe,2010,10895586,109.17,60
Czech Republic,Europe,2010,10474410,113.67,45
France,Europe,2010,65027507,356.58,263
Germany,Europe,2010,81776930,780.86,327
Italy,Europe,2010,59277417,401.96,174
Netherlands,Europe,2010,16615394,190.77,83
Poland,Europe,2010,38042794,318.01,101
Portugal,Europe,2010,10573100,48.47,23
Romania,Europe,2010,20246871,74.72,35
Spain,Europe,2010,46576897,266.97,128
Sweden,Europe,2010,9378126,48.48,51
United Kingdom,Europe,2010,62766365,485.18,204
Norway,Europe,2010,4889252,39.17,30
Turkey,Asia,2010,72326988,273.52,106
Kazakhstan,Asia,2010,16321872,217.14,69
Russia,Asia,2010,142849468,1609.46,688
Ukraine,Europe,2010,45870741,276.55,132
Uzbekistan,Asia,2010,28562400,102.39,42
Canada,North America,2010,34004889,548.34,261
United States,North America,2010,309321666,5445.56,2217
Argentina,South America,2010,40788453,174.55,79
Brazil,South America,2010,195713635,376.95,267
Chile,South America,2010,17062536,70.26,31
Colombia,South America,2010,45222699,60.8,31
Mexico,North America,2010,114092963,444.9,179
Venezuela,South America,2010,28439940,171.71,72
China,Asia,2010,1337705000,7799.44,2536
India,Asia,2010,1234281170,1583.12,701
Indonesia,Asia,2010,241834215,376.45,206
Japan,Asia,2010,128070000,1103.7,503
Malaysia,Asia,2010,28208035,194.79,73
South Korea,Asia,2010,24548836,593.87,256
Taiwan,Asia,2010,23187551,268.41,111
Thailand,Asia,2010,67195028,235.41,118
Australia,Oceania,2010,22031750,394.16,127
New Zealand,Oceania,2010,4350700,30.09,19
Algeria,Africa,2010,35977455,97.47,40
Egypt,Africa,2010,82761235,183.61,73
Nigeria,Africa,2010,158503197,56.44,127
South Africa,Africa,2010,51216967,428.72,132
Iran,Asia,2010,73762519,515.17,204
Kuwait,Asia,2010,2991884,78.85,32
Saudi Arabia,Asia,2010,27421461,435.08,185
United Arab Emirates,Asia,2010,8549988,155.86,61
